cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
189,"[[54, 140], [54, 146], [57, 146], [57, 140]]","[55.5, 143.0]",186.552,18,True,True,143.0,0.6666666666666856,9
221,"[[54, 156], [54, 161], [57, 161], [57, 156]]","[55.5, 158.5]",169.102,15,True,True,158.5,2.333333333333343,9
253,"[[54, 170], [54, 175], [57, 175], [57, 170]]","[55.5, 172.5]",148.096,15,True,True,172.5,5.5,9
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",353.09,12,True,True,85.0,10.0,10
81,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",285.27,12,True,True,91.0,1.1666666666666714,10
131,"[[54, 109], [54, 112], [57, 112], [57, 109]]","[55.5, 110.5]",223.634,9,True,True,110.5,1.1666666666666572,10
179,"[[54, 124], [54, 127], [57, 127], [57, 124]]","[55.5, 125.5]",207.913,9,True,True,125.5,1.0,10
227,"[[54, 139], [54, 146], [57, 146], [57, 139]]","[55.5, 142.5]",195.622,21,True,True,142.5,1.1666666666666856,10
259,"[[54, 157], [54, 164], [57, 164], [57, 157]]","[55.5, 160.5]",170.133,21,True,True,160.5,0.3333333333333428,10
291,"[[54, 174], [54, 180], [57, 180], [57, 174]]","[55.5, 177.0]",148.862,18,True,True,177.0,1.0,10
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",365.85,12,True,True,85.0,10.0,11
80,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",288.786,12,True,True,91.0,1.1666666666666714,11
129,"[[54, 109], [54, 113], [57, 113], [57, 109]]","[55.5, 111.0]",225.114,12,True,True,111.0,1.6666666666666572,11
176,"[[54, 126], [54, 129], [57, 129], [57, 126]]","[55.5, 127.5]",213.989,9,True,True,127.5,1.0,11
224,"[[54, 141], [54, 144], [57, 144], [57, 141]]","[55.5, 142.5]",176.971,9,True,True,142.5,1.1666666666666856,11
288,"[[54, 161], [54, 164], [57, 164], [57, 161]]","[55.5, 162.5]",153.276,9,True,True,162.5,1.6666666666666572,11
320,"[[54, 171], [54, 178], [57, 178], [57, 171]]","[55.5, 174.5]",160.352,21,True,True,174.5,3.5,11
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",386.507,12,True,True,85.0,10.0,12
79,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",297.682,12,True,True,91.0,1.1666666666666714,12
111,"[[54, 102], [54, 109], [57, 109], [57, 102]]","[55.5, 105.5]",246.585,21,True,True,105.5,3.833333333333343,12
159,"[[54, 124], [54, 128], [57, 128], [57, 124]]","[55.5, 126.0]",215.849,12,True,True,126.0,0.5,12
207,"[[54, 142], [54, 146], [57, 146], [57, 142]]","[55.5, 144.0]",175.625,12,True,True,144.0,0.3333333333333144,12
255,"[[54, 160], [54, 163], [57, 163], [57, 160]]","[55.5, 161.5]",157.782,9,True,True,161.5,0.6666666666666572,12
303,"[[54, 175], [54, 178], [57, 178], [57, 175]]","[55.5, 176.5]",138.204,9,True,True,176.5,1.5,12
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",396.93,12,True,True,85.0,10.0,13
79,"[[54, 89], [54, 94], [57, 94], [57, 89]]","[55.5, 91.5]",298.105,15,True,True,91.5,0.6666666666666714,13
127,"[[54, 108], [54, 111], [57, 111], [57, 108]]","[55.5, 109.5]",226.406,9,True,True,109.5,0.1666666666666572,13
157,"[[54, 121], [54, 127], [57, 127], [57, 121]]","[55.5, 124.0]",236.417,18,True,True,124.0,2.5,13
205,"[[54, 143], [54, 148], [57, 148], [57, 143]]","[55.5, 145.5]",182.117,15,True,True,145.5,1.8333333333333144,13
237,"[[54, 157], [54, 161], [57, 161], [57, 157]]","[55.5, 159.0]",167.629,12,True,True,159.0,1.8333333333333428,13
285,"[[54, 175], [54, 179], [57, 179], [57, 175]]","[55.5, 177.0]",142.856,12,True,True,177.0,1.0,13
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",401.042,12,True,True,85.0,10.0,14
81,"[[54, 89], [54, 94], [57, 94], [57, 89]]","[55.5, 91.5]",301.149,15,True,True,91.5,0.6666666666666714,14
131,"[[54, 110], [54, 114], [57, 114], [57, 110]]","[55.5, 112.0]",246.596,12,True,True,112.0,2.666666666666657,14
165,"[[54, 125], [54, 132], [57, 132], [57, 125]]","[55.5, 128.5]",238.262,21,True,True,128.5,2.0,14
197,"[[54, 142], [54, 148], [57, 148], [57, 142]]","[55.5, 145.0]",197.291,18,True,True,145.0,1.3333333333333144,14
229,"[[54, 158], [54, 163], [57, 163], [57, 158]]","[55.5, 160.5]",177.62,15,True,True,160.5,0.3333333333333428,14
259,"[[54, 172], [54, 177], [57, 177], [57, 172]]","[55.5, 174.5]",154.899,15,True,True,174.5,3.5,14
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",390.873,15,True,True,85.5,10.5,15
81,"[[54, 90], [54, 95], [57, 95], [57, 90]]","[55.5, 92.5]",309.225,15,True,True,92.5,0.3333333333333286,15
114,"[[54, 105], [54, 110], [57, 110], [57, 105]]","[55.5, 107.5]",230.572,15,True,True,107.5,1.8333333333333428,15
163,"[[54, 124], [54, 127], [57, 127], [57, 124]]","[55.5, 125.5]",221.137,9,True,True,125.5,1.0,15
227,"[[54, 144], [54, 147], [57, 147], [57, 144]]","[55.5, 145.5]",179.002,9,True,True,145.5,1.8333333333333144,15
261,"[[54, 158], [54, 165], [57, 165], [57, 158]]","[55.5, 161.5]",175.294,21,True,True,161.5,0.6666666666666572,15
