tick,cell_id,cx,cy,y_min,y_max,auxin
2,124,56.5,95.67935601111111,93.15942756543211,98.19928445679011,60.7429
2,131,85.5,95.67935601111111,93.15942756543211,98.19928445679011,60.7429
2,140,56.5,100.71921290246912,98.19928445679011,103.23914134814814,60.4481
2,147,85.5,100.71921290246912,98.19928445679011,103.23914134814814,60.4481
2,155,56.5,105.75906979382715,103.23914134814814,108.27899823950617,60.4782
2,162,85.5,105.75906979382715,103.23914134814814,108.27899823950617,60.4782
2,170,56.5,110.79892668518518,108.27899823950617,113.3188551308642,60.448
2,177,85.5,110.79892668518518,108.27899823950617,113.3188551308642,60.448
2,185,56.5,115.83878357654321,113.3188551308642,118.35871202222222,60.4782
2,192,85.5,115.83878357654321,113.3188551308642,118.35871202222222,60.4782
2,199,56.5,120.87864046790123,118.35871202222222,123.39856891358025,60.448
2,206,85.5,120.87864046790123,118.35871202222222,123.39856891358025,60.448
2,214,56.5,125.91849735925925,123.39856891358025,128.43842580493825,60.4782
2,221,85.5,125.91849735925925,123.39856891358025,128.43842580493825,60.4782
2,229,56.5,130.95835425061728,128.43842580493825,133.47828269629628,60.448
2,236,85.5,130.95835425061728,128.43842580493825,133.47828269629628,60.448
2,243,56.5,135.99821114197528,133.47828269629628,138.5181395876543,60.4782
2,250,85.5,135.99821114197528,133.47828269629628,138.5181395876543,60.4782
2,257,56.5,141.03806803333333,138.5181395876543,143.55799647901233,60.448
2,264,85.5,141.03806803333333,138.5181395876543,143.55799647901233,60.448
2,271,56.5,146.07792492469136,143.55799647901233,148.5978533703704,60.4782
2,278,85.5,146.07792492469136,143.55799647901233,148.5978533703704,60.4782
2,285,56.5,151.1177818160494,148.5978533703704,153.6377102617284,60.448
2,292,85.5,151.1177818160494,148.5978533703704,153.6377102617284,60.448
2,300,56.5,156.1576387074074,153.6377102617284,158.67756715308641,60.4782
2,307,85.5,156.1576387074074,153.6377102617284,158.67756715308641,60.4782
2,315,56.5,161.19749559876544,158.67756715308641,163.71742404444444,60.4783
2,322,85.5,161.19749559876544,158.67756715308641,163.71742404444444,60.4783
2,329,56.5,166.23735249012344,163.71742404444444,168.75728093580247,60.4783
