cell_id,cell_type,cx,cy,auxin,corners
418,vasc,77.0,394.4344557980544,74.5661,"[[79, 387.87], [75, 387.87], [75, 400.99], [79, 400.99]]"
419,vasc,81.0,394.4344557980544,81.5899,"[[83, 387.87], [79, 387.87], [79, 400.99], [83, 400.99]]"
420,peri,85.5,394.4344557980544,84.9666,"[[88, 387.87], [83, 387.87], [83, 400.99], [88, 400.99]]"
421,endo,91.5,394.4344557980544,89.0781,"[[95, 387.87], [88, 387.87], [88, 400.99], [95, 400.99]]"
422,cortex,100.5,394.4344557980544,98.1515,"[[106, 387.87], [95, 387.87], [95, 400.99], [106, 400.99]]"
423,epidermis,111.0,394.4344557980544,150.269,"[[116, 387.87], [106, 387.87], [106, 400.99], [116, 400.99]]"
424,epidermis,31.0,407.5542295040974,161.212,"[[36, 400.99], [26, 400.99], [26, 414.11], [36, 414.11]]"
425,cortex,41.5,407.5542295040974,111.115,"[[47, 400.99], [36, 400.99], [36, 414.11], [47, 414.11]]"
426,endo,50.5,407.5542295040974,106.128,"[[54, 400.99], [47, 400.99], [47, 414.11], [54, 414.11]]"
427,peri,56.5,407.5542295040974,103.528,"[[59, 400.99], [54, 400.99], [54, 414.11], [59, 414.11]]"
428,vasc,61.0,407.5542295040974,100.361,"[[63, 400.99], [59, 400.99], [59, 414.11], [63, 414.11]]"
429,vasc,65.0,407.5542295040974,93.0854,"[[67, 400.99], [63, 400.99], [63, 414.11], [67, 414.11]]"
430,vasc,69.0,407.5542295040974,89.7957,"[[71, 400.99], [67, 400.99], [67, 414.11], [71, 414.11]]"
431,vasc,73.0,407.5542295040974,89.7957,"[[75, 400.99], [71, 400.99], [71, 414.11], [75, 414.11]]"
432,vasc,77.0,407.5542295040974,93.0854,"[[79, 400.99], [75, 400.99], [75, 414.11], [79, 414.11]]"
433,vasc,81.0,407.5542295040974,100.361,"[[83, 400.99], [79, 400.99], [79, 414.11], [83, 414.11]]"
434,peri,85.5,407.5542295040974,103.528,"[[88, 400.99], [83, 400.99], [83, 414.11], [88, 414.11]]"
435,endo,91.5,407.5542295040974,106.128,"[[95, 400.99], [88, 400.99], [88, 414.11], [95, 414.11]]"
436,cortex,100.5,407.5542295040974,111.115,"[[106, 400.99], [95, 400.99], [95, 414.11], [106, 414.11]]"
437,epidermis,111.0,407.5542295040974,161.212,"[[116, 400.99], [106, 400.99], [106, 414.11], [116, 414.11]]"
438,epidermis,31.0,420.57708811935004,164.219,"[[36, 414.11], [26, 414.11], [26, 427.04], [36, 427.04]]"
439,cortex,41.5,420.57708811935004,115.94,"[[47, 414.11], [36, 414.11], [36, 427.04], [47, 427.04]]"
440,endo,50.5,420.57708811935004,112.163,"[[54, 414.11], [47, 414.11], [47, 427.04], [54, 427.04]]"
441,peri,56.5,420.57708811935004,109.753,"[[59, 414.11], [54, 414.11], [54, 427.04], [59, 427.04]]"
442,vasc,61.0,420.57708811935004,106.302,"[[63, 414.11], [59, 414.11], [59, 427.04], [63, 427.04]]"
443,vasc,65.0,420.57708811935004,98.585,"[[67, 414.11], [63, 414.11], [63, 427.04], [67, 427.04]]"
444,vasc,69.0,420.57708811935004,95.0199,"[[71, 414.11], [67, 414.11], [67, 427.04], [71, 427.04]]"
445,vasc,73.0,420.57708811935004,95.0199,"[[75, 414.11], [71, 414.11], [71, 427.04], [75, 427.04]]"
446,vasc,77.0,420.57708811935004,98.585,"[[79, 414.11], [75, 414.11], [75, 427.04], [79, 427.04]]"
447,vasc,81.0,420.57708811935004,106.302,"[[83, 414.11], [79, 414.11], [79, 427.04], [83, 427.04]]"
448,peri,85.5,420.57708811935004,109.753,"[[88, 414.11], [83, 414.11], [83, 427.04], [88, 427.04]]"
449,endo,91.5,420.57708811935004,112.163,"[[95, 414.11], [88, 414.11], [88, 427.04], [95, 427.04]]"
450,cortex,100.5,420.57708811935004,115.94,"[[106, 414.11], [95, 414.11], [95, 427.04], [106, 427.04]]"
451,epidermis,111.0,420.57708811935004,164.219,"[[116, 414.11], [106, 414.11], [106, 427.04], [116, 427.04]]"
452,epidermis,31.0,433.2669619134525,164.262,"[[36, 427.04], [26, 427.04], [26, 439.49], [36, 439.49]]"
453,cortex,41.5,433.2669619134525,117.746,"[[47, 427.04], [36, 427.04], [36, 439.49], [47, 439.49]]"
454,endo,50.5,433.2669619134525,114.815,"[[54, 427.04], [47, 427.04], [47, 439.49], [54, 439.49]]"
455,peri,56.5,433.2669619134525,112.416,"[[59, 427.04], [54, 427.04], [54, 439.49], [59, 439.49]]"
456,vasc,61.0,433.2669619134525,108.713,"[[63, 427.04], [59, 427.04], [59, 439.49], [63, 439.49]]"
457,vasc,65.0,433.2669619134525,100.644,"[[67, 427.04], [63, 427.04], [63, 439.49], [67, 439.49]]"
458,vasc,69.0,433.2669619134525,96.8928,"[[71, 427.04], [67, 427.04], [67, 439.49], [71, 439.49]]"
459,vasc,73.0,433.2669619134525,96.8928,"[[75, 427.04], [71, 427.04], [71, 439.49], [75, 439.49]]"
460,vasc,77.0,433.2669619134525,100.644,"[[79, 427.04], [75, 427.04], [75, 439.49], [79, 439.49]]"
461,vasc,81.0,433.2669619134525,108.713,"[[83, 427.04], [79, 427.04], [79, 439.49], [83, 439.49]]"
462,peri,85.5,433.2669619134525,112.416,"[[88, 427.04], [83, 427.04], [83, 439.49], [88, 439.49]]"
463,endo,91.5,433.2669619134525,114.815,"[[95, 427.04], [88, 427.04], [88, 439.49], [95, 439.49]]"
464,cortex,100.5,433.2669619134525,117.746,"[[106, 427.04], [95, 427.04], [95, 439.49], [106, 439.49]]"
465,epidermis,111.0,433.2669619134525,164.262,"[[116, 427.04], [106, 427.04], [106, 439.49], [116, 439.49]]"
466,epidermis,31.0,445.5156847824473,163.783,"[[36, 439.49], [26, 439.49], [26, 451.54], [36, 451.54]]"
467,cortex,41.5,445.5156847824473,118.04,"[[47, 439.49], [36, 439.49], [36, 451.54], [47, 451.54]]"
468,endo,50.5,445.5156847824473,115.851,"[[54, 439.49], [47, 439.49], [47, 451.54], [54, 451.54]]"
469,peri,56.5,445.5156847824473,113.583,"[[59, 439.49], [54, 439.49], [54, 451.54], [59, 451.54]]"
470,vasc,61.0,445.5156847824473,109.773,"[[63, 439.49], [59, 439.49], [59, 451.54], [63, 451.54]]"
471,vasc,65.0,445.5156847824473,101.462,"[[67, 439.49], [63, 439.49], [63, 451.54], [67, 451.54]]"
472,vasc,69.0,445.5156847824473,97.5843,"[[71, 439.49], [67, 439.49], [67, 451.54], [71, 451.54]]"
473,vasc,73.0,445.5156847824473,97.5843,"[[75, 439.49], [71, 439.49], [71, 451.54], [75, 451.54]]"
474,vasc,77.0,445.5156847824473,101.462,"[[79, 439.49], [75, 439.49], [75, 451.54], [79, 451.54]]"
475,vasc,81.0,445.5156847824473,109.773,"[[83, 439.49], [79, 439.49], [79, 451.54], [83, 451.54]]"
476,peri,85.5,445.5156847824473,113.583,"[[88, 439.49], [83, 439.49], [83, 451.54], [88, 451.54]]"
477,endo,91.5,445.5156847824473,115.851,"[[95, 439.49], [88, 439.49], [88, 451.54], [95, 451.54]]"
478,cortex,100.5,445.5156847824473,118.04,"[[106, 439.49], [95, 439.49], [95, 451.54], [106, 451.54]]"
479,epidermis,111.0,445.5156847824473,163.783,"[[116, 439.49], [106, 439.49], [106, 451.54], [116, 451.54]]"
480,epidermis,31.0,457.38270930953126,162.872,"[[36, 451.54], [26, 451.54], [26, 463.23], [36, 463.23]]"
481,cortex,41.5,457.38270930953126,117.654,"[[47, 451.54], [36, 451.54], [36, 463.23], [47, 463.23]]"
482,endo,50.5,457.38270930953126,116.054,"[[54, 451.54], [47, 451.54], [47, 463.23], [54, 463.23]]"
483,peri,56.5,457.38270930953126,113.972,"[[59, 451.54], [54, 451.54], [54, 463.23], [59, 463.23]]"
484,vasc,61.0,457.38270930953126,110.139,"[[63, 451.54], [59, 451.54], [59, 463.23], [63, 463.23]]"
485,vasc,65.0,457.38270930953126,101.661,"[[67, 451.54], [63, 451.54], [63, 463.23], [67, 463.23]]"
486,vasc,69.0,457.38270930953126,97.7021,"[[71, 451.54], [67, 451.54], [67, 463.23], [71, 463.23]]"
487,vasc,73.0,457.38270930953126,97.7021,"[[75, 451.54], [71, 451.54], [71, 463.23], [75, 463.23]]"
488,vasc,77.0,457.38270930953126,101.661,"[[79, 451.54], [75, 451.54], [75, 463.23], [79, 463.23]]"
489,vasc,81.0,457.38270930953126,110.139,"[[83, 451.54], [79, 451.54], [79, 463.23], [83, 463.23]]"
490,peri,85.5,457.38270930953126,113.972,"[[88, 451.54], [83, 451.54], [83, 463.23], [88, 463.23]]"
491,endo,91.5,457.38270930953126,116.054,"[[95, 451.54], [88, 451.54], [88, 463.23], [95, 463.23]]"
492,cortex,100.5,457.38270930953126,117.654,"[[106, 451.54], [95, 451.54], [95, 463.23], [106, 463.23]]"
493,epidermis,111.0,457.38270930953126,162.872,"[[116, 451.54], [106, 451.54], [106, 463.23], [116, 463.23]]"
494,epidermis,31.0,468.8806066178071,160.235,"[[36, 463.23], [26, 463.23], [26, 474.53], [36, 474.53]]"
495,cortex,41.5,468.8806066178071,117.133,"[[47, 463.23], [36, 463.23], [36, 474.53], [47, 474.53]]"
496,endo,50.5,468.8806066178071,116.224,"[[54, 463.23], [47, 463.23], [47, 474.53], [54, 474.53]]"
497,peri,56.5,468.8806066178071,114.321,"[[59, 463.23], [54, 463.23], [54, 474.53], [59, 474.53]]"
498,vasc,61.0,468.8806066178071,110.501,"[[63, 463.23], [59, 463.23], [59, 474.53], [63, 474.53]]"
499,vasc,65.0,468.8806066178071,101.868,"[[67, 463.23], [63, 463.23], [63, 474.53], [67, 474.53]]"
500,vasc,69.0,468.8806066178071,97.8242,"[[71, 463.23], [67, 463.23], [67, 474.53], [71, 474.53]]"
501,vasc,73.0,468.8806066178071,97.8242,"[[75, 463.23], [71, 463.23], [71, 474.53], [75, 474.53]]"
502,vasc,77.0,468.8806066178071,101.868,"[[79, 463.23], [75, 463.23], [75, 474.53], [79, 474.53]]"
503,vasc,81.0,468.8806066178071,110.501,"[[83, 463.23], [79, 463.23], [79, 474.53], [83, 474.53]]"
504,peri,85.5,468.8806066178071,114.321,"[[88, 463.23], [83, 463.23], [83, 474.53], [88, 474.53]]"
505,endo,91.5,468.8806066178071,116.224,"[[95, 463.23], [88, 463.23], [88, 474.53], [95, 474.53]]"
506,cortex,100.5,468.8806066178071,117.133,"[[106, 463.23], [95, 463.23], [95, 474.53], [106, 474.53]]"
507,epidermis,111.0,468.8806066178071,160.235,"[[116, 463.23], [106, 463.23], [106, 474.53], [116, 474.53]]"
508,epidermis,31.0,480.0202030334125,157.853,"[[36, 474.53], [26, 474.53], [26, 485.51], [36, 485.51]]"
509,cortex,41.5,480.0202030334125,116.103,"[[47, 474.53], [36, 474.53], [36, 485.51], [47, 485.51]]"
510,endo,50.5,480.0202030334125,115.782,"[[54, 474.53], [47, 474.53], [47, 485.51], [54, 485.51]]"
511,peri,56.5,480.0202030334125,113.994,"[[59, 474.53], [54, 474.53], [54, 485.51], [59, 485.51]]"
512,vasc,61.0,480.0202030334125,110.161,"[[63, 474.53], [59, 474.53], [59, 485.51], [63, 485.51]]"
513,vasc,65.0,480.0202030334125,101.413,"[[67, 474.53], [63, 474.53], [63, 485.51], [67, 485.51]]"
514,vasc,69.0,480.0202030334125,97.3181,"[[71, 474.53], [67, 474.53], [67, 485.51], [71, 485.51]]"
515,vasc,73.0,480.0202030334125,97.3181,"[[75, 474.53], [71, 474.53], [71, 485.51], [75, 485.51]]"
516,vasc,77.0,480.0202030334125,101.413,"[[79, 474.53], [75, 474.53], [75, 485.51], [79, 485.51]]"
517,vasc,81.0,480.0202030334125,110.161,"[[83, 474.53], [79, 474.53], [79, 485.51], [83, 485.51]]"
