auxin,arr,al,pin,pina,pinb,pinl,pinm,k1,k2,k3,k4,k5,k6,k_s,k_d,arr_hist,growing,circ_mod,vertices,neighbors
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[49,40,68,52]","[c35,c59,c37]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[54,65,69,70]","[c46,c44,c52,c53]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[66,62,71,72]","[c47,c58,c45,c59]"
400,0,1,0.25,0,1,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[48,63,67,69]","[c44,c48,c50]"
400,0,1,0.6,0,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[65,56,70,73]","[c46,c50,c54]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[56,57,73,74]","[c39,c53,c55]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[57,58,74,75]","[c40,c54,c56]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[58,59,75,76]","[c41,c55,c57]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[59,60,76,77]","[c56,c42,c58]"
400,0,1,0.6,0,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[60,66,77,71]","[c47,c57,c51]"
400,0,1,0.25,0,1,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[64,49,72,68]","[c45,c51,c49]"
