cell_id,cell_type,cell_zone,pin_wa,pin_wb,pin_wl,pin_wm
72,endo,meristematic,1.0,0.45945945945945954,0.8108108108108109,0.7297297297297298
73,cortex,meristematic,1.0,0.16666666666666674,0.9166666666666666,0.9166666666666666
74,epidermis,meristematic,0.16666666666666674,1.0,0.9166666666666666,0.9166666666666666
75,roottip,roottip,0.09090909090909094,1.0,1.0,0.9090909090909091
76,epidermis,meristematic,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
77,cortex,meristematic,1.0,0.0,1.0,1.0
78,endo,meristematic,1.0,0.0,1.0,1.0
79,peri,meristematic,1.0,0.0,1.0,1.0
80,vasc,meristematic,1.0,0.0,1.0,1.0
81,vasc,meristematic,1.0,0.0,1.0,1.0
82,vasc,meristematic,1.0,0.0,1.0,1.0
83,vasc,meristematic,1.0,0.0,1.0,1.0
