tick,mean,std,min,max
139,3.0432557931034485,1.7408953280325323,0.66069,5.47427
140,3.0007210689655173,1.709592043545075,0.660943,5.38822
141,2.958949896551724,1.6788519816204883,0.661192,5.30371
142,2.917894310344828,1.6486154528287755,0.661436,5.22071
143,2.877576103448276,1.6189232968498273,0.661676,5.1392
144,2.837982827586207,1.5897660462313217,0.661912,5.05915
145,2.7991006896551722,1.5611337813494823,0.662144,4.98054
146,2.760882448275862,1.5329686156547684,0.662371,4.90141
147,2.7233516206896553,1.5053110759789385,0.662594,4.82373
148,2.6864957586206897,1.4781525446682555,0.662813,4.74748
149,2.650302448275862,1.4514842041807954,0.663028,4.67405
150,2.6147600344827584,1.4252969096709804,0.66324,4.60235
151,2.5798271379310345,1.3995398652641364,0.663448,4.53193
152,2.5455233448275862,1.3742485900066188,0.663652,4.46277
153,2.511837,1.3494151286895404,0.663852,4.39485
154,2.4787564137931035,1.325030118561005,0.664049,4.32815
155,2.5070655000000004,1.3207715599870766,0.664242,4.26963
156,2.4741147,1.296968711767118,0.664432,4.20537
157,2.441756433333333,1.273594788953511,0.664618,4.14226
158,2.409980066666667,1.2506417503309415,0.664801,4.08027
159,2.3787623,1.228086468171456,0.664981,4.01939
160,2.3481050999999997,1.2059372847695886,0.665158,3.9596
161,2.3179868333333333,1.1841701290212094,0.665331,3.90087
162,2.288409833333333,1.1627967759452564,0.665501,3.84319
163,2.2593654333333335,1.141809066946068,0.665668,3.78654
164,2.2308556666666663,1.121215886661768,0.665832,3.7309
165,2.2502695161290323,1.1139942112008956,0.665993,3.67625
166,2.2219390000000003,1.093926281531969,0.666151,3.62258
167,2.1941071935483873,1.0742058099333598,0.666307,3.56953
168,2.1667747096774197,1.0548396363420565,0.66646,3.51743
169,2.139923806451613,1.0358096727531299,0.66661,3.46627
170,2.1135554838709676,1.0171234763088253,0.666757,3.41603
171,2.0876617096774193,0.998773624100657,0.666902,3.36669
172,2.062244322580645,0.9807688500474026,0.667044,3.31823
173,2.037284064516129,0.9630891863353367,0.667184,3.27064
174,2.0127731612903226,0.9457277678598566,0.667321,3.22391
175,1.9887119677419354,0.9286916696369231,0.667456,3.17802
176,2.0015260625,0.9203784489879459,0.667588,3.13295
177,1.97766153125,0.9037931987109958,0.667718,3.08869
178,1.954216375,0.8874959345795104,0.667845,3.04523
179,1.9311928437499999,0.8714918239408163,0.66797,3.00255
180,1.9085846875,0.8557764813679098,0.668093,2.96064
181,1.88637378125,0.8403342332326167,0.668214,2.91948
182,1.86457040625,0.8251813036368437,0.668333,2.87933
183,1.84316740625,0.8103116951428778,0.668449,2.8399
184,1.82214946875,0.795709762551328,0.668563,2.80117
185,1.801509375,0.7813709996111434,0.668675,2.76313
186,1.78124,0.7672901824043054,0.668785,2.72577
187,1.761335375,0.7534634470141603,0.668893,2.68908
188,1.7693556969696969,0.7451708161821893,0.668999,2.65305
189,1.749652909090909,0.7317294436129904,0.669103,2.61766
190,1.730312393939394,0.7185404319010517,0.669206,2.5829
191,1.7113191818181819,0.7055884930458218,0.669307,2.54876
192,1.6926671515151515,0.6928698626780164,0.669406,2.51523
193,1.6743580606060606,0.6803890208330453,0.669503,2.4823
194,1.6563785454545454,0.6681333549056523,0.669598,2.44996
195,1.6387279696969697,0.6561048625191873,0.669692,2.4182
196,1.6213874545454545,0.6442849941277229,0.669784,2.387
197,1.6043526666666668,0.6326700700913024,0.669874,2.35614
198,1.5876233636363637,0.621263645933045,0.669963,2.32583
199,1.5924688235294118,0.6133722617828632,0.67005,2.29607
200,1.5759496176470589,0.6023114265753925,0.670136,2.26684
201,1.5597272647058824,0.5914497671822171,0.67022,2.23814
202,1.5438032647058824,0.5807912844054497,0.670303,2.20996
203,1.5281642647058824,0.5703238995863331,0.670384,2.18228
204,1.5128129411764706,0.5600511624019875,0.670464,2.1551
205,1.4977377058823529,0.5499642400901011,0.670542,2.12841
206,1.4829338823529412,0.5400587982032715,0.670619,2.1022
207,1.4683896176470588,0.5303248147439409,0.670694,2.07646
208,1.4541063529411764,0.5207656974876645,0.670768,2.05118
209,1.4400808529411766,0.5113799630459173,0.670841,2.02636
210,1.4263074705882353,0.502163544827822,0.670912,2.00205
211,1.4289339714285714,0.49508721621639334,0.670982,1.97823
212,1.4153626857142858,0.4861667664950748,0.671051,1.9549
213,1.4020362,0.4774072221106513,0.671119,1.93199
214,1.3889492857142858,0.4688055305339533,0.671185,1.90949
215,1.3760968,0.46035781186590014,0.67125,1.88739
216,1.3634764571428573,0.4520630357623024,0.671314,1.86569
217,1.3510816285714287,0.4439173243593698,0.671377,1.84438
218,1.3389051714285714,0.4359126926386161,0.671439,1.82345
219,1.3269479142857143,0.4280520046137811,0.6715,1.80289
